Evaluate office environment:
evaluate mppi
Model mode: PlainNet, model type: q_no
pybullet build time: May 28 2020 16:37:34
skill prior type: gauss
episode time: 6.5696702003479
success rate: 0.84
episode index: 25
episode time: 2.9808759689331055
success rate: 0.8461538461538461
episode index: 26
episode time: 5.494798898696899
success rate: 0.8518518518518519
episode index: 27
episode time: 3.8282928466796875
success rate: 0.8571428571428571
episode index: 28
episode time: 20.59017038345337
success rate: 0.8275862068965517
episode index: 29
episode time: 3.1898412704467773
success rate: 0.8333333333333334
episode index: 30
episode time: 17.45720338821411
success rate: 0.8064516129032258
episode index: 31
episode time: 11.15170168876648
success rate: 0.8125
episode index: 32
episode time: 3.3840110301971436
success rate: 0.8181818181818182
episode index: 33
episode time: 4.7190258502960205
success rate: 0.8235294117647058
episode index: 34
episode time: 13.930382251739502
success rate: 0.8
episode index: 35
episode time: 10.593558073043823
success rate: 0.8055555555555556
episode index: 36
episode time: 12.735086917877197
success rate: 0.8108108108108109
episode index: 37
episode time: 7.524204730987549
success rate: 0.8157894736842105
episode index: 38
episode time: 5.501541614532471
success rate: 0.8205128205128205
episode index: 39
episode time: 5.587043046951294
success rate: 0.825
episode index: 40
episode time: 15.81046438217163
success rate: 0.8292682926829268
episode index: 41
episode time: 4.611544370651245
success rate: 0.8333333333333334
episode index: 42
episode time: 18.96378779411316
success rate: 0.813953488372093
episode index: 43
episode time: 11.358747243881226
success rate: 0.8181818181818182
episode index: 44
episode time: 6.6059417724609375
success rate: 0.8222222222222222
episode index: 45
episode time: 5.721847772598267
success rate: 0.8260869565217391
episode index: 46
episode time: 19.60385751724243
success rate: 0.8085106382978723
episode index: 47
episode time: 4.88207221031189
success rate: 0.8125
episode index: 48
episode time: 5.189492702484131
success rate: 0.8163265306122449
episode index: 49
episode time: 3.439467430114746
success rate: 0.82
episode index: 50
episode time: 5.799636125564575
success rate: 0.8235294117647058
episode index: 51
episode time: 19.097485303878784
success rate: 0.8076923076923077
episode index: 52
episode time: 7.647237062454224
success rate: 0.8113207547169812
episode index: 53
episode time: 7.30902361869812
success rate: 0.8148148148148148
episode index: 54
episode time: 16.025336265563965
success rate: 0.8181818181818182
episode index: 55
episode time: 4.550292015075684
success rate: 0.8214285714285714
episode index: 56
episode time: 19.016170263290405
success rate: 0.8070175438596491
episode index: 57
episode time: 5.571553707122803
success rate: 0.8103448275862069
episode index: 58
episode time: 5.029942989349365
success rate: 0.8135593220338984
episode index: 59
episode time: 6.807427883148193
success rate: 0.8166666666666667
episode index: 60
episode time: 16.16208028793335
success rate: 0.8032786885245902
episode index: 61
episode time: 11.71406078338623
success rate: 0.8064516129032258
episode index: 62
episode time: 6.424003601074219
success rate: 0.8095238095238095
episode index: 63
episode time: 15.274476051330566
success rate: 0.8125
episode index: 64
episode time: 18.690741062164307
success rate: 0.8
episode index: 65
episode time: 6.692220687866211
success rate: 0.803030303030303
episode index: 66
episode time: 7.539032936096191
success rate: 0.8059701492537313
episode index: 67
episode time: 18.59045124053955
success rate: 0.7941176470588235
episode index: 68
episode time: 17.689026832580566
success rate: 0.782608695652174
episode index: 69
episode time: 16.99690079689026
success rate: 0.7857142857142857
episode index: 70
episode time: 2.4323620796203613
success rate: 0.7887323943661971
episode index: 71
episode time: 6.886538743972778
success rate: 0.7916666666666666
episode index: 72
episode time: 6.925506114959717
success rate: 0.7945205479452054
episode index: 73
episode time: 12.76584005355835
success rate: 0.7972972972972973
episode index: 74
episode time: 3.857632637023926
success rate: 0.8
episode index: 75
episode time: 7.482112646102905
success rate: 0.8026315789473685
episode index: 76
episode time: 5.141395092010498
success rate: 0.8051948051948052
episode index: 77
episode time: 14.081905603408813
success rate: 0.8076923076923077
episode index: 78
episode time: 7.4962921142578125
success rate: 0.810126582278481
episode index: 79
episode time: 14.014983654022217
success rate: 0.8125
episode index: 80
episode time: 12.06987977027893
success rate: 0.8024691358024691
episode index: 81
episode time: 15.785403966903687
success rate: 0.8048780487804879
episode index: 82
episode time: 17.78321146965027
success rate: 0.7951807228915663
episode index: 83
episode time: 12.676632404327393
success rate: 0.7976190476190477
episode index: 84
episode time: 20.396953344345093
success rate: 0.788235294117647
episode index: 85
episode time: 18.719446897506714
